ID,Name,Flood_damage
21,Jafarabad,0.0
23,Nasirabad,0.0
47,Lakki Marwat,0.0
48,Dera Ismail Khan,8190.5736
68,Charsadda,2016.6185
69,Nowshera,2388.9173
77,Bahawalnagar,155.12449999999995
78,Bahawalpur,1830.4691
79,Rahimyar Khan,11665.3624
80,Dera Ghazi Kha,4064.2619
81,Layyah,2326.8675
82,Muzaffargarh,26588.3393
83,Rajan Pur,9896.9431
85,Jhang,6608.3037
86,Toba Tek Singh,2761.2161
87,Gujarat,682.5477999999998
88,Gujranwala 1,93.0747
90,Gujrat,0.0
91,Hafizabad,0.0
94,Sialkot,992.7968
95,Kasur,4250.4113
101,Khanewal,2544.0418
103,Multan,2513.0169
106,Vehari,217.1743
109,Jhelum,0.0
111,Bhakkar,62.0498
112,Khushab,310.249
113,Mianwali,3691.9631
114,Sargodha,1892.5189
115,Badin,124.0996
116,Dadu,2699.1663
117,Hyderabad,3102.49
118,Jamshoro,3164.5398
119,Matiari,1954.5687
120,Tando Allahyar,2885.3157
121,Tando M. Khan,1116.8964
122,Thatta,22648.177000000003
128,Jakobabad,2078.6683
129,Kashmore,2016.6185
130,Larkana,3009.4153
131,Shikarpur,2575.0667
132,Mirphurkhas,2947.3655
133,Mithi,0.0
134,Sanghar,12192.7857
135,Umerkot,0.0
137,Ghotki,4157.3366
138,Khairpur,5739.6065
139,Naushahro Firoz,4995.0089
140,Nawab Shah,8717.9969
141,Sukkur,4560.6603
