ID,Name,Flood_damage
1,Bagh,713.5726999999999
2,Bhimber,31.0249
3,Kotli,0.0
4,Mirpur,0.0
5,Muzaffarabad,961.7719
7,Poonch,124.0996
8,Sudhnati,0.0
21,Jafarabad,0.0
23,Nasirabad,0.0
28,Dera Bugti,0.0
38,Khyber,62.0498
41,Mohmand,0.0
43,Orakzai,0.0
45,Islamabad,775.6225
46,Bannu,0.0
47,Lakki Marwat,0.0
48,Dera Ismail Khan,8190.5736
49,Tank,0.0
50,Adam Khel,0.0
52,Abbottabad,31.0249
54,Haripur,93.07469999999999
57,Hangu,0.0
58,Karak,0.0
59,Kohat,1023.8217
62,Malakand P.A.,713.5726999999999
65,Buner,0.0
66,Mardan,217.1743
67,Swabi,248.1992
68,Charsadda,2016.6184999999998
69,Nowshera,2388.9173
70,Peshawar,2419.9422
77,Bahawalnagar,155.12449999999998
78,Bahawalpur,1830.4691
79,Rahimyar Khan,11665.3624
80,Dera Ghazi Kha,4064.2619
81,Layyah,2326.8675
82,Muzaffargarh,26588.3393
83,Rajan Pur,9896.9431
84,Faisalabad,2326.8675
85,Jhang,6608.3036999999995
86,Toba Tek Singh,2761.2161
87,Gujarat,682.5477999999999
88,Gujranwala 1,93.07469999999999
89,Gujranwala 2,1147.9213
90,Gujrat,0.0
91,Hafizabad,0.0
93,Narowal 2,0.0
94,Sialkot,992.7968
95,Kasur,4250.4113
96,Lahore,527.4232999999999
97,Nankana Sahib,31.0249
98,Okara 1,527.4232999999999
99,Okara,837.6723
100,Sheikhupura,93.07469999999999
101,Khanewal,2544.0418
102,Lodhran,0.0
103,Multan,2513.0169
104,Pakpattan,310.24899999999997
105,Sahiwal,279.22409999999996
106,Vehari,217.1743
107,Attok,0.0
108,Chakwal,0.0
109,Jhelum,0.0
110,Rawalpindi,62.0498
111,Bhakkar,62.0498
112,Khushab,310.24899999999997
113,Mianwali,3691.9631
114,Sargodha,1892.5189
115,Badin,124.0996
116,Dadu,2699.1663
117,Hyderabad,3102.49
118,Jamshoro,3164.5398
119,Matiari,1954.5687
120,Tando Allahyar,2885.3157
121,Tando M. Khan,1116.8963999999999
122,Thatta,22648.177
124,Karachi East,0.0
127,Malir,0.0
128,Jakobabad,2078.6683
129,Kashmore,2016.6184999999998
130,Larkana,3009.4152999999997
131,Shikarpur,2575.0667
132,Mirphurkhas,2947.3655
133,Mithi,0.0
134,Sanghar,12192.7857
135,Umerkot,0.0
136,Rann of Kutch,155.12449999999998
137,Ghotki,4157.3366
138,Khairpur,5739.6065
139,Naushahro Firoz,4995.0089
140,Nawab Shah,8717.9969
141,Sukkur,4560.6603
