ID,Name,Flood_damage
21,Jafarabad,403.3237
23,Nasirabad,0.0
47,Lakki Marwat,31.0249
48,Dera Ismail Khan,29566.7297
68,Charsadda,310.249
69,Nowshera,2916.3406
77,Bahawalnagar,4250.4113
78,Bahawalpur,2264.8177
79,Rahimyar Khan,21624.3553
80,Dera Ghazi Kha,14364.5287
81,Layyah,16505.2468
82,Muzaffargarh,79516.8187
83,Rajan Pur,12316.8853
85,Jhang,47964.4954
86,Toba Tek Singh,3133.5149
87,Gujarat,5987.8057
88,Gujranwala 1,310.249
90,Gujrat,3071.4651
91,Hafizabad,3288.6394
94,Sialkot,1644.3197
95,Kasur,5584.482
101,Khanewal,3257.6145
103,Multan,22679.2019
106,Vehari,2016.6185
109,Jhelum,5429.3575
111,Bhakkar,6639.3286
112,Khushab,5491.4073
113,Mianwali,14271.454
114,Sargodha,17684.193
115,Badin,19049.2886
116,Dadu,3164.5398
117,Hyderabad,3505.8137
118,Jamshoro,4808.8595
119,Matiari,1054.8466
120,Tando Allahyar,3878.1125
121,Tando M. Khan,2606.0916
122,Thatta,76166.1295
128,Jakobabad,0.0
129,Kashmore,4219.3863999999985
130,Larkana,19514.6621
131,Shikarpur,21345.1312
132,Mirphurkhas,15636.5496
133,Mithi,0.0
134,Sanghar,19700.8115
135,Umerkot,1830.4691
137,Ghotki,1489.1952
138,Khairpur,19142.3633
139,Naushahro Firoz,8066.473999999998
140,Nawab Shah,9090.2957
141,Sukkur,24695.8204
