ID,Name,Flood_damage
1,Bagh,93.07469999999999
2,Bhimber,0.0
3,Kotli,899.7221
4,Mirpur,6918.5527
5,Muzaffarabad,558.4481999999999
7,Poonch,0.0
8,Sudhnati,0.0
21,Jafarabad,403.3237
23,Nasirabad,0.0
28,Dera Bugti,0.0
38,Khyber,62.0498
41,Mohmand,589.4730999999999
43,Orakzai,0.0
45,Islamabad,0.0
46,Bannu,124.0996
47,Lakki Marwat,31.0249
48,Dera Ismail Khan,29566.7297
49,Tank,248.1992
50,Adam Khel,124.0996
52,Abbottabad,31.0249
54,Haripur,2792.241
57,Hangu,0.0
58,Karak,0.0
59,Kohat,31.0249
62,Malakand P.A.,992.7968
65,Buner,93.07469999999999
66,Mardan,341.27389999999997
67,Swabi,3629.9132999999997
68,Charsadda,310.24899999999997
69,Nowshera,2916.3406
70,Peshawar,682.5477999999999
77,Bahawalnagar,4250.4113
78,Bahawalpur,2264.8177
79,Rahimyar Khan,21624.3553
80,Dera Ghazi Kha,14364.528699999999
81,Layyah,16505.2468
82,Muzaffargarh,79516.8187
83,Rajan Pur,12316.8853
84,Faisalabad,10703.5905
85,Jhang,47964.4954
86,Toba Tek Singh,3133.5148999999997
87,Gujarat,5987.8057
88,Gujranwala 1,310.24899999999997
89,Gujranwala 2,1458.1703
90,Gujrat,3071.4651
91,Hafizabad,3288.6394
93,Narowal 2,465.3735
94,Sialkot,1644.3197
95,Kasur,5584.482
96,Lahore,10579.490899999999
97,Nankana Sahib,8097.4989
98,Okara 1,6391.1294
99,Okara,837.6723
100,Sheikhupura,5956.7807999999995
101,Khanewal,3257.6144999999997
102,Lodhran,465.3735
103,Multan,22679.2019
104,Pakpattan,2823.2659
105,Sahiwal,1365.0955999999999
106,Vehari,2016.6184999999998
107,Attok,899.7221
108,Chakwal,0.0
109,Jhelum,5429.3575
110,Rawalpindi,372.29879999999997
111,Bhakkar,6639.3286
112,Khushab,5491.4073
113,Mianwali,14271.454
114,Sargodha,17684.193
115,Badin,19049.2886
116,Dadu,3164.5398
117,Hyderabad,3505.8136999999997
118,Jamshoro,4808.8595
119,Matiari,1054.8465999999999
120,Tando Allahyar,3878.1124999999997
121,Tando M. Khan,2606.0915999999997
122,Thatta,76166.1295
124,Karachi East,0.0
127,Malir,0.0
128,Jakobabad,0.0
129,Kashmore,4219.386399999999
130,Larkana,19514.662099999998
131,Shikarpur,21345.1312
132,Mirphurkhas,15636.5496
133,Mithi,0.0
134,Sanghar,19700.8115
135,Umerkot,1830.4691
136,Rann of Kutch,3195.5647
137,Ghotki,1489.1951999999999
138,Khairpur,19142.3633
139,Naushahro Firoz,8066.473999999999
140,Nawab Shah,9090.295699999999
141,Sukkur,24695.8204
