ID,Name,Tflood,Fr,Fc,Fm,Fs,TEVI,TFEVI,Er,Ec,Em,Es,EFr,EFc,EFm,EFs
1,Bagh,1766,0,1401,190,0,0.3211448354142179,0.29612149945231453,,0.3244294457597821,0.291081179417122,,,0.30053787078316463,0.2773169219154443,
2,Bhimber,514,296,152,33,11,0.24798508725542043,0.26802471056324534,0.2438568896981602,0.27955940780431454,0.24648393337198896,0.21580771685723457,0.2683640825764287,0.28233943323986194,0.2537685171385991,0.19785257078986582
3,Kotli,979,114,638,203,19,0.27487894278884956,0.26689729943569085,0.2529099944629015,0.2838271876565053,0.2622493561565909,0.2343302786885246,0.2504567155593902,0.279035811192764,0.24547734393927162,0.18099346419327006
4,Mirpur,1544,464,0,101,273,0.16859256024110458,0.10138592462626357,0.198871231097419,,0.22071812220566348,0.18420523884485948,0.1322049692622951,,0.17607246794351564,0.14459334053924205
5,Muzaffarabad,2699,0,2113,478,75,0.3002130832618345,0.27589843779420364,,0.3055289580143648,0.2791939716934384,0.10845192079794588,,0.28299667398539835,0.2701024350092598,0.12002012568306011
7,Poonch,626,0,626,0,0,0.32115214319384117,0.3070509885822032,,0.32125879177175337,,,,0.3070509885822032,,
8,Sudhnati,319,0,242,77,0,0.29233777751069695,0.2792002415334807,,0.29728295998552157,0.269271212079952,,,0.28585365296030374,0.2582895199063231,
21,Jafarabad,7166,1742,0,0,1254,0.1139536400794433,0.11181456130497848,0.17651476462420532,,,0.1451854993183964,0.17660522505693488,,,0.14293782518890366
23,Nasirabad,5576,2514,0,0,447,0.12342592792360652,0.1504980301261847,0.19998159283931535,,,0.15341673033362757,0.2017221187579064,,,0.16928032053397885
28,Dera Bugti,1935,49,0,0,106,0.10896999902748396,0.10236635997797247,0.1524195233758349,,,0.1439061347705581,0.17666254600200731,,,0.1721374613362202
38,Khyber,2471,0,435,369,149,0.19311874674037263,0.16639626287890336,,0.3135479142578572,0.21042733120478488,0.15340704949278228,,0.2978338618805351,0.21597733684304043,0.13762362196061173
41,Mohmand,1289,9,29,29,187,0.13233773023321604,0.12912759764209156,0.19094289617486349,0.1944003381864038,0.17335809426229506,0.1573538314591519,0.20984840619307835,0.1475552430751837,0.18222208875070664,0.16354270404137788
43,Orakzai,644,5,382,256,0,0.27602196819597247,0.2717031641380714,0.2481390337804273,0.2944082898433873,0.2449633042481934,,0.2646618852459017,0.28884845292249584,0.24658500736424188,
45,Islamabad,248,9,124,75,9,0.23124287408440933,0.24491697679799046,0.22098943362504628,0.27902549689728584,0.2421381288863764,0.181320587600873,0.2463674863387978,0.24764799709148605,0.2748723442622951,0.16000737704918033
46,Bannu,410,0,0,69,48,0.1487429234744229,0.12507244802079173,,,0.21100863964006025,0.17972542809608819,,,0.1995136968401045,0.1837854166666667
47,Lakki Marwat,3021,0,0,12,142,0.10230240595861068,0.07876860229757827,,,0.1818565657410505,0.13571214567048862,,,0.19482380464480875,0.12983763564996542
48,Dera Ismail Khan,14985,0,303,1889,496,0.134621434470493,0.11779781051543284,,0.2348324396349829,0.2048434356048288,0.1572286186176566,,0.19834953741275757,0.18520757578387437,0.14127446456901135
49,Tank,2560,0,2,69,5,0.11223072341566322,0.10595932329021503,,0.1597158615277292,0.1743827137495171,0.10198532786885245,,0.19503647540983607,0.16386439177952003,0.10733893442622952
50,Adam Khel,477,0,0,249,121,0.19406929441433562,0.20134866481080532,0.2380743169398907,,0.22236576865109264,0.18013022975793358,,,0.22563021923760612,0.19347369258907998
52,Abbottabad,1380,25,1317,12,26,0.29786027484289035,0.2944421581729622,0.2698763736401463,0.3008042954132777,0.27822100967144514,0.24158660581222047,0.23458814754098367,0.29762204401458797,0.27881205601092895,0.19813453656998734
54,Haripur,1781,277,674,283,86,0.2394998170094305,0.17471459370771583,0.24348259767721314,0.2789560108422511,0.2235529928110726,0.21293900806864743,0.21053082351896787,0.26201763267986583,0.1455080229392342,0.16747686808997334
57,Hangu,455,10,1,383,51,0.20763982170600115,0.22467638353449834,0.24129319315751954,0.2507909594985535,0.2195861968076997,0.18918301036850213,0.23466774590163933,0.27883934426229506,0.22671756088687253,0.21712298296367727
58,Karak,1421,4,14,23,446,0.14069839543034363,0.133648397861123,0.2441325683060109,0.20928852868852463,0.20444204667112742,0.15601986174228444,0.24248360655737705,0.23875026346604214,0.21733962936564502,0.1560708069911049
59,Kohat,1533,1,55,390,463,0.1600735635010733,0.15162711895672262,0.2579505035128805,0.20333441494961654,0.203949214179757,0.15999712897788734,0.27105696721311473,0.11610729508196721,0.2089079760403531,0.15373408632227442
62,Malakand P.A.,558,20,77,126,205,0.21346828794357867,0.20600035695399274,0.23305658997764525,0.2681478136004856,0.2073375009602531,0.19505071891303793,0.2218662704918033,0.21622739514583783,0.20128484907624256,0.19961854458216716
65,Buner,759,87,516,142,0,0.2770623448464323,0.2759898863906347,0.26973441503812773,0.2833784945141886,0.259690342678055,,0.27106001507443,0.2804074596517982,0.26143184310782736,
66,Mardan,421,58,128,184,29,0.25465764023614806,0.22905734687122772,0.2381003986688703,0.2766185752521148,0.24760731592675717,0.2095693575790972,0.24985209864330132,0.24516857710040976,0.22102231379187437,0.20935517241379312
