ID,Name,Tflood,Fr,Fc,Fm,Fs,TEVI,TFEVI,Er,Ec,Em,Es,EFr,EFc,EFm,EFs
1,Bagh,48057.5701,0.0,37167.8302,5708.5815999999995,0.0,0.3211448354142179,0.2902663389389243,,0.3244294457597821,0.291081179417122,,,0.29503908152932495,0.2743421596578759,
2,Bhimber,5646.5318,3350.6892,1551.245,186.14939999999999,217.1743,0.24798508725542043,0.229974522608539,0.2438568896981602,0.27955940780431454,0.24648393337198896,0.21580771685723457,0.22785957422586525,0.25155018032786886,0.24461871584699452,0.1961641100702576
3,Kotli,16039.8733,1768.4193,10703.5905,2978.3903999999998,434.3486,0.27487894278884956,0.2533635309319214,0.2529099944629015,0.2838271876565053,0.2622493561565909,0.2343302786885246,0.2309013014092609,0.26873103825136635,0.23135336407103824,0.16909628220140513
4,Mirpur,42876.4118,11355.1134,0.0,2357.8923999999997,7352.9012999999995,0.16859256024110458,0.08195459508671203,0.198871231097419,,0.22071812220566348,0.18420523884485948,0.094028389545821,,0.14946960742018983,0.1276691619976481
5,Muzaffarabad,76724.5777,0.0,59381.658599999995,13619.9311,2575.0667,0.3002130832618345,0.2716402620431807,,0.3055289580143648,0.2791939716934384,0.10845192079794588,,0.28039323620603984,0.2677101740169535,0.10845192079794588
7,Poonch,14705.802599999999,0.0,14643.7528,0.0,0.0,0.32115214319384117,0.30359136404509945,,0.32125879177175337,,,,0.30487776813003636,,
8,Sudhnati,6049.8555,0.0,4653.735,1396.1205,0.0,0.29233777751069695,0.2769291172761664,,0.29728295998552157,0.269271212079952,,,0.28408364480874315,0.25308069216757745,
21,Jafarabad,224092.8527,54324.5999,0.0,0.0,40115.1957,0.1139536400794433,0.11218742450686899,0.17651476462420532,,,0.1451854993183964,0.17660677060415136,,,0.14339646647141607
23,Nasirabad,170978.22389999998,78927.3456,0.0,0.0,14922.9769,0.12342592792360652,0.15286748931347433,0.19998159283931535,,,0.15341673033362757,0.20143367534668513,,,0.16802766862070145
28,Dera Bugti,48709.093,1551.245,0.0,0.0,3040.4402,0.10896999902748396,0.10935404876266046,0.1524195233758349,,,0.1439061347705581,0.17380612295081965,,,0.16763859150217467
38,Khyber,59753.9574,0.0,9834.8933,7290.8515,3536.8386,0.19311874674037263,0.15710525254072832,,0.3135479142578572,0.21042733120478488,0.15340704949278228,,0.299406479805554,0.22192636030694102,0.13675457290767903
41,Mohmand,25998.8662,0.0,651.5228999999999,651.5228999999999,1489.1951999999999,0.13233773023321604,0.11171163044328809,0.19094289617486349,0.1944003381864038,0.17335809426229506,0.1573538314591519,,0.12534517954722874,0.1773699648711944,0.15709287909836067
43,Orakzai,7508.025799999999,31.0249,6173.9551,1303.0457999999999,0.0,0.27602196819597247,0.28916304193198733,0.2481390337804273,0.2944082898433873,0.2449633042481934,,0.2477717213114754,0.2974847413295988,0.25071954527712725,
45,Islamabad,2885.3157,93.07469999999999,1675.3446,341.27389999999997,62.0498,0.23124287408440933,0.17887875022034205,0.22098943362504628,0.27902549689728584,0.2421381288863764,0.181320587600873,0.2200941256830601,0.17821317547055252,0.20367652757078983,0.16391987704918032
46,Bannu,4839.8844,0.0,0.0,589.4730999999999,837.6723,0.1487429234744229,0.11478215111391336,,,0.21100863964006025,0.17972542809608819,,,0.132992385677308,0.1810358986035216
47,Lakki Marwat,49515.740399999995,0.0,0.0,310.24899999999997,4715.784799999999,0.10230240595861068,0.10089622493734335,,,0.1818565657410505,0.13571214567048862,,,0.1954102049180328,0.12498181082830029
48,Dera Ismail Khan,432921.4546,0.0,7973.3993,48460.8938,12161.7608,0.134621434470493,0.11582139159815508,,0.2348324396349829,0.2048434356048288,0.1572286186176566,,0.20156700102060335,0.18139078577275936,0.127562537638006
49,Tank,70922.92139999999,0.0,31.0249,992.7968,155.12449999999998,0.11223072341566322,0.10735935362075649,,0.1597158615277292,0.1743827137495171,0.10198532786885245,,0.2130811475409836,0.10771574026639345,0.10733893442622952
50,Adam Khel,6298.0547,0.0,0.0,3940.1623,930.747,0.19406929441433562,0.19926663167245415,0.2380743169398907,,0.22236576865109264,0.18013022975793358,,,0.2209281528333549,0.20205005464480877
52,Abbottabad,29039.306399999998,248.1992,28294.7088,0.0,496.3984,0.29786027484289035,0.29568662953621944,0.2698763736401463,0.3008042954132777,0.27822100967144514,0.24158660581222047,0.1324501024590164,0.2997479494715269,,0.14580965676229507
54,Haripur,35182.2366,4312.4610999999995,9245.4202,6236.0049,1830.4691,0.2394998170094305,0.11795974896637455,0.24348259767721314,0.2789560108422511,0.2235529928110726,0.21293900806864743,0.15758342375280107,0.23727578391462203,0.10069821384878883,0.10987948041122532
57,Hangu,5119.108499999999,62.0498,0.0,4715.784799999999,248.1992,0.20763982170600115,0.2186322205663189,0.24129319315751954,0.2507909594985535,0.2195861968076997,0.18918301036850213,0.23045717213114753,,0.22171279928817944,0.18078329918032787
58,Karak,27798.3104,0.0,31.0249,93.07469999999999,8655.9471,0.14069839543034363,0.13581524260831399,0.2441325683060109,0.20928852868852463,0.20444204667112742,0.15601986174228444,,0.21124139344262294,0.1731530054644809,0.1461947411716317
59,Kohat,17870.342399999998,0.0,1303.0457999999999,279.22409999999996,3505.8136999999997,0.1600735635010733,0.09530504824112021,0.2579505035128805,0.20333441494961654,0.203949214179757,0.15999712897788734,,0.08604545277127244,0.19011438979963574,0.10409261207021615
62,Malakand P.A.,11975.6114,527.4232999999999,1768.4193,2481.9919999999997,4684.7599,0.21346828794357867,0.19173297269175224,0.23305658997764525,0.2681478136004856,0.2073375009602531,0.19505071891303793,0.21986325940212154,0.2130620865688812,0.18175454918032788,0.179544262295082
65,Buner,12254.8355,1551.245,8314.6732,2140.7181,0.0,0.2770623448464323,0.26956871342602173,0.26973441503812773,0.2833784945141886,0.259690342678055,,0.25459191803278686,0.27593239998776614,0.2541484022333097,
66,Mardan,8469.7977,1023.8217,2513.0169,4126.3117,527.4232999999999,0.25465764023614806,0.22631659010388516,0.2381003986688703,0.2766185752521148,0.24760731592675717,0.2095693575790972,0.24491479135618474,0.2495120673952642,0.21555945704424995,0.21420118129218899
67,Swabi,25130.168999999998,341.27389999999997,2202.7679,3536.8386,2357.8923999999997,0.22236351634749948,0.06578482240437156,0.25115178328901805,0.2668568721408808,0.2179288261561048,0.18073161387074238,0.05722216840536513,0.18273504386977596,0.028818061547310897,0.01674128019844695
68,Charsadda,7570.0756,0.0,992.7968,1396.1205,0.0,0.27612171721089784,0.16721312483203443,0.1334454918032787,0.30001664850402526,0.26308546078865763,0.2049423940333776,,0.18882926485655743,0.18412719489981783,
69,Nowshera,53952.3011,403.3237,682.5477999999999,5956.7807999999995,8966.1961,0.16904588683765312,0.1438519162605229,0.22751938873386815,0.22320207033315706,0.20665355990722722,0.15655081515425381,0.23276440731399747,0.20609875186289117,0.19531235484972675,0.14163953429009019
70,Peshawar,8531.8475,0.0,5336.2828,310.24899999999997,31.0249,0.20533313743893522,0.16786104619970196,,0.23708346118817453,0.22119400089058963,0.17611772243483578,,0.1714788148112848,0.21990709016393445,0.1085860655737705
77,Bahawalnagar,197039.13989999998,101358.3483,5832.6812,8376.723,29008.281499999997,0.18743641239666256,0.1970233718195916,0.22476957251153026,0.26866545826718297,0.21714267701430098,0.1975163956564572,0.23158310301223883,0.2309140521450995,0.19147862325440204,0.20923882835101248
78,Bahawalpur,452932.51509999996,104336.7387,8655.9471,1861.494,25130.168999999998,0.12286657942535713,0.1372119541648372,0.23716370667664655,0.26189411606770363,0.22149998256016765,0.16229683861175068,0.24599232815645697,0.24302838885950995,0.21324511612021857,0.19198022262699874
79,Rahimyar Khan,248106.12529999999,46009.926699999996,20135.1601,15822.698999999999,14178.379299999999,0.18429843047241362,0.15420170125272356,0.23043425995569955,0.30312279365600553,0.24854778571920733,0.1622948019690186,0.23579027447685794,0.2305386117355834,0.20655641112182574,0.19062107741148612
80,Dera Ghazi Kha,318346.4989,37850.378,19514.662099999998,16226.0227,23796.098299999998,0.12682990844874104,0.129330917040649,0.22931573180666429,0.2514478872468815,0.20266664309761764,0.1651217400349505,0.21923628762429426,0.21752110232218755,0.17731965254051366,0.17143732500480893
81,Layyah,153511.2052,124.0996,6204.98,12503.0347,4684.7599,0.14934495538023243,0.12106448921239926,0.22292715960632012,0.2508520516717327,0.21488338710558177,0.17931987720438164,0.2697822745901639,0.2454534057377049,0.21859097852174236,0.14796772880251874
82,Muzaffargarh,470461.58359999995,23361.7497,42969.4865,66300.2113,10982.8146,0.18200660151225018,0.14748655786893825,0.2445501631663267,0.2654879662453048,0.21287714408973274,0.17563661577050357,0.19987632856551937,0.22065640587086474,0.19230481638884017,0.14618065087524298
83,Rajan Pur,331314.9071,38532.9258,16163.972899999999,13619.9311,15729.6243,0.12832098756325924,0.12994835340234204,0.22533924392730606,0.2631227354246273,0.2238798273360087,0.15643657040324568,0.2124367037565004,0.2255394536043546,0.20553548022704354,0.12543250315258517
84,Faisalabad,81192.1633,16381.1472,18428.7906,24912.9947,12534.059599999999,0.2474111867695377,0.19987670104675037,0.2537657993478358,0.2728494514102815,0.228879250820475,0.19946065976193458,0.2429470333457526,0.21038794709388964,0.19057328767123288,0.1743506837364064
85,Jhang,391099.8894,55131.247299999995,36392.2077,83053.65729999999,23982.2477,0.2051127912712063,0.17125529334196846,0.2466973388726699,0.2636407626641984,0.2219198864456802,0.20469493539713976,0.2249063225919536,0.21839153599429786,0.19022313346234185,0.18107215924755587
86,Toba Tek Singh,39525.7226,15636.5496,10393.3415,6018.830599999999,4498.6105,0.24939173637076925,0.2124441937746094,0.2488752009678053,0.27931981089320373,0.22770221175367464,0.2120384410831042,0.22920359582357536,0.21572424394421347,0.19651585262802093,0.20598453928773305
87,Gujarat,110045.32029999999,68440.9294,12999.4331,14829.902199999999,5305.2579,0.25908426081743646,0.22813835520204093,0.2575309206557371,0.2796530280959904,0.2390220663179021,0.2035320638997922,0.24238888742327178,0.24131263155835503,0.1987482697715894,0.17681629757453743
88,Gujranwala 1,222076.23419999998,197597.5881,10424.366399999999,744.5975999999999,8997.221,0.24251361384599276,0.24335523437034798,0.24609282505798077,0.2561821898857786,0.23385435088590825,0.23358510150792014,0.2448421064248194,0.25651642027712723,0.2294395833333333,0.24277113623516097
89,Gujranwala 2,121648.6329,98659.182,4312.4610999999995,1737.3944,5274.233,0.22013016545335384,0.21690908234767803,0.23245962964503966,0.1904351048105347,0.20629918836387015,0.18311477971311468,0.2301590243839569,0.17110669300625075,0.19227893003512878,0.17421094262295084
90,Gujrat,77748.3994,35647.6101,1737.3944,14550.6781,17125.7448,0.21143920229802357,0.19970117194143883,0.22194506630335822,0.2066226690573771,0.21543004349826628,0.19823103712149226,0.22079634607427692,0.1542842798594848,0.20887406410570103,0.1865492077987645
91,Hafizabad,223255.18039999998,181992.06339999998,0.0,5212.1831999999995,17622.1432,0.21854434856314664,0.214578224924594,0.22635881904569646,,0.20877813423810807,0.19592687618419954,0.22396779307540604,,0.20800932377049172,0.1851678783768183
93,Narowal 2,63973.343799999995,48305.7693,0.0,93.07469999999999,14054.2797,0.21383362179212048,0.2090203969963909,0.21899598428350595,,0.20916289120715345,0.20017380041795196,0.21441334823167726,,0.22453620218579234,0.19580392194115742
94,Sialkot,259461.2387,203523.34399999998,13371.731899999999,20321.3095,11789.462,0.23266736923459716,0.23011539107661932,0.23692616339484174,0.2508718611722968,0.22455261422481568,0.2136597371176142,0.23446585628248667,0.24229356243581446,0.22038429295457398,0.21850557161346001
95,Kasur,83208.7818,30218.2526,18925.189,12068.686099999999,11696.3873,0.2561876077847726,0.2024729379836433,0.24367213233484566,0.28229936282258705,0.24601646401901384,0.2139498937300744,0.20271458999562375,0.2195445048374094,0.2220723587171816,0.19029853676566494
96,Lahore,55844.82,8904.1463,13216.607399999999,14395.5536,6546.2539,0.20912449883572612,0.18840767144808715,0.23980226497389895,0.24639876232869423,0.20911284353274437,0.19741407584605616,0.22492400039984,0.23110551258369882,0.1777213379734314,0.17644744969310855
97,Nankana Sahib,195767.119,144886.283,2450.9671,15667.574499999999,25936.8164,0.22430742855077623,0.21706144027175214,0.22970546675223577,0.25316514071038243,0.21929899481619877,0.20574814796303736,0.22504714729525768,0.23354564224942928,0.19513334117838038,0.19422441907208388
98,Okara 1,45451.4785,10548.466,18335.7159,10827.6901,3940.1623,0.25893015037367517,0.21280354697029039,0.25322950198359756,0.2756078316391137,0.22113731580554735,0.21252018216942287,0.21162031219865007,0.2456411139774204,0.1760458981163984,0.18460958758228987
99,Okara,22368.9529,9431.569599999999,5181.1583,2916.3406,2326.8675,0.2540966390490481,0.21599297423887578,0.25366868668482945,0.27152610549721606,0.23774950008725387,0.2123306519484664,0.21685592914150134,0.23136581672720127,0.21518689832577614,0.22347655737704913
100,Sheikhupura,316640.1294,238085.0826,3257.6144999999997,19049.2886,46009.926699999996,0.22099886836973578,0.21763833585515405,0.2259284355209296,0.25194838008762027,0.2219688408947929,0.20161544853612826,0.22368050485565505,0.2393587587822014,0.2103293333155335,0.19790055215944655
101,Khanewal,84791.0517,44768.9307,17560.093399999998,9834.8933,2823.2659,0.26991071697153873,0.23786195782572458,0.2678409432500053,0.291648510686287,0.23117799255297872,0.2227616610177305,0.25773310214375794,0.25436612770086325,0.21708232792056686,0.19247513060709784
102,Lodhran,128908.4595,116157.22559999999,2730.1911999999998,1675.3446,8035.4491,0.2675668816708102,0.2664342642678187,0.27007414468600605,0.2819583348428586,0.2849870983606558,0.22394434873109562,0.26866325716775197,0.2869017930327869,0.28207386915604127,0.2283274083802772
