ID,Name,Flood_damage
21,Jafarabad,62173.8996
23,Nasirabad,40084.1708
47,Lakki Marwat,0.0
48,Dera Ismail Khan,2513.0169
68,Charsadda,0.0
69,Nowshera,0.0
77,Bahawalnagar,14147.3544
78,Bahawalpur,9121.3206
79,Rahimyar Khan,10486.4162
80,Dera Ghazi Kha,32172.8213
81,Layyah,17125.7448
82,Muzaffargarh,54820.9983
83,Rajan Pur,65369.4643
85,Jhang,25502.4678
86,Toba Tek Singh,3785.0378
87,Gujarat,10269.2419
88,Gujranwala 1,16443.197
90,Gujrat,7135.727
91,Hafizabad,40611.5941
94,Sialkot,27146.7875
95,Kasur,3660.9382
101,Khanewal,5367.3076999999985
103,Multan,3536.8386
106,Vehari,5119.1084999999985
109,Jhelum,155.12449999999995
111,Bhakkar,434.3486
112,Khushab,1240.996
113,Mianwali,3350.6892
114,Sargodha,3878.1125
115,Badin,38067.5523
116,Dadu,56651.4674
117,Hyderabad,3940.1623
118,Jamshoro,62.0498
119,Matiari,4250.4113
120,Tando Allahyar,10641.5407
121,Tando M. Khan,62.0498
122,Thatta,7104.7021
128,Jakobabad,125495.7205
129,Kashmore,39680.8471
130,Larkana,175756.05849999998
131,Shikarpur,69309.6266
132,Mirphurkhas,1427.1454
133,Mithi,0.0
134,Sanghar,806.6474
135,Umerkot,62.0498
137,Ghotki,46754.5243
138,Khairpur,2264.8177
139,Naushahro Firoz,1706.3695
140,Nawab Shah,4064.2619
141,Sukkur,19700.8115
