ID,Name,Flood_damage
1,Bagh,0.0
2,Bhimber,558.4481999999999
3,Kotli,155.12449999999998
4,Mirpur,2761.2161
5,Muzaffarabad,0.0
7,Poonch,0.0
8,Sudhnati,0.0
21,Jafarabad,62173.8996
23,Nasirabad,40084.1708
28,Dera Bugti,1240.9959999999999
38,Khyber,0.0
41,Mohmand,0.0
43,Orakzai,0.0
45,Islamabad,0.0
46,Bannu,0.0
47,Lakki Marwat,0.0
48,Dera Ismail Khan,2513.0169
49,Tank,0.0
50,Adam Khel,0.0
52,Abbottabad,0.0
54,Haripur,620.4979999999999
57,Hangu,0.0
58,Karak,0.0
59,Kohat,0.0
62,Malakand P.A.,0.0
65,Buner,0.0
66,Mardan,0.0
67,Swabi,744.5975999999999
68,Charsadda,0.0
69,Nowshera,0.0
70,Peshawar,0.0
77,Bahawalnagar,14147.3544
78,Bahawalpur,9121.3206
79,Rahimyar Khan,10486.4162
80,Dera Ghazi Kha,32172.8213
81,Layyah,17125.7448
82,Muzaffargarh,54820.9983
83,Rajan Pur,65369.4643
84,Faisalabad,2947.3655
85,Jhang,25502.4678
86,Toba Tek Singh,3785.0378
87,Gujarat,10269.241899999999
88,Gujranwala 1,16443.197
89,Gujranwala 2,21810.504699999998
90,Gujrat,7135.727
91,Hafizabad,40611.5941
93,Narowal 2,15977.823499999999
94,Sialkot,27146.7875
95,Kasur,3660.9382
96,Lahore,2730.1911999999998
97,Nankana Sahib,28511.8831
98,Okara 1,2202.7679
99,Okara,1644.3197
100,Sheikhupura,63290.795999999995
101,Khanewal,5367.307699999999
102,Lodhran,4374.5109
103,Multan,3536.8386
104,Pakpattan,1582.2699
105,Sahiwal,1644.3197
106,Vehari,5119.108499999999
107,Attok,0.0
108,Chakwal,0.0
109,Jhelum,155.12449999999998
110,Rawalpindi,0.0
111,Bhakkar,434.3486
112,Khushab,1240.9959999999999
113,Mianwali,3350.6892
114,Sargodha,3878.1124999999997
115,Badin,38067.552299999996
116,Dadu,56651.4674
117,Hyderabad,3940.1623
118,Jamshoro,62.0498
119,Matiari,4250.4113
120,Tando Allahyar,10641.5407
121,Tando M. Khan,62.0498
122,Thatta,7104.7020999999995
124,Karachi East,0.0
127,Malir,0.0
128,Jakobabad,125495.7205
129,Kashmore,39680.8471
130,Larkana,175756.05849999998
131,Shikarpur,69309.6266
132,Mirphurkhas,1427.1453999999999
133,Mithi,0.0
134,Sanghar,806.6474
135,Umerkot,62.0498
136,Rann of Kutch,1706.3695
137,Ghotki,46754.5243
138,Khairpur,2264.8177
139,Naushahro Firoz,1706.3695
140,Nawab Shah,4064.2619
141,Sukkur,19700.8115
