ID,Name,Flood_damage
21,Jafarabad,65648.6884
23,Nasirabad,6670.3535
47,Lakki Marwat,0.0
48,Dera Ismail Khan,4250.4113
68,Charsadda,0.0
69,Nowshera,0.0
77,Bahawalnagar,9431.5696
78,Bahawalpur,8717.9969
79,Rahimyar Khan,14426.5785
80,Dera Ghazi Kha,18552.8902
81,Layyah,5181.1583
82,Muzaffargarh,40890.8182
83,Rajan Pur,42380.0134
85,Jhang,32203.8462
86,Toba Tek Singh,1396.1205
87,Gujarat,1799.4442
88,Gujranwala 1,310.249
90,Gujrat,8190.5736
91,Hafizabad,8655.9471
94,Sialkot,4995.0089
95,Kasur,5274.233
101,Khanewal,2637.1165
103,Multan,6111.9052999999985
106,Vehari,558.4481999999998
109,Jhelum,9462.5945
111,Bhakkar,2326.8675
112,Khushab,7135.727
113,Mianwali,18056.4918
114,Sargodha,14085.3046
115,Badin,137316.20739999998
116,Dadu,45265.3291
117,Hyderabad,4343.486
118,Jamshoro,341.2739
119,Matiari,1644.3197
120,Tando Allahyar,16970.6203
121,Tando M. Khan,124.0996
122,Thatta,174421.9878
128,Jakobabad,172157.1701
129,Kashmore,49267.5412
130,Larkana,94812.0944
131,Shikarpur,68471.9543
132,Mirphurkhas,11913.5616
133,Mithi,11386.1383
134,Sanghar,11137.9391
135,Umerkot,2699.1663
137,Ghotki,44706.8809
138,Khairpur,7135.727
139,Naushahro Firoz,14519.6532
140,Nawab Shah,20507.4589
141,Sukkur,15512.45
