ID,Name,Flood_damage
1,Bagh,372.29879999999997
2,Bhimber,31.0249
3,Kotli,372.29879999999997
4,Mirpur,3785.0378
5,Muzaffarabad,0.0
7,Poonch,0.0
8,Sudhnati,0.0
21,Jafarabad,65648.6884
23,Nasirabad,6670.3535
28,Dera Bugti,713.5726999999999
38,Khyber,0.0
41,Mohmand,0.0
43,Orakzai,0.0
45,Islamabad,0.0
46,Bannu,0.0
47,Lakki Marwat,0.0
48,Dera Ismail Khan,4250.4113
49,Tank,0.0
50,Adam Khel,0.0
52,Abbottabad,124.0996
54,Haripur,3629.9132999999997
57,Hangu,0.0
58,Karak,0.0
59,Kohat,0.0
62,Malakand P.A.,0.0
65,Buner,0.0
66,Mardan,403.3237
67,Swabi,1799.4442
68,Charsadda,0.0
69,Nowshera,0.0
70,Peshawar,0.0
77,Bahawalnagar,9431.569599999999
78,Bahawalpur,8717.9969
79,Rahimyar Khan,14426.5785
80,Dera Ghazi Kha,18552.890199999998
81,Layyah,5181.1583
82,Muzaffargarh,40890.8182
83,Rajan Pur,42380.013399999996
84,Faisalabad,558.4481999999999
85,Jhang,32203.8462
86,Toba Tek Singh,1396.1205
87,Gujarat,1799.4442
88,Gujranwala 1,310.24899999999997
89,Gujranwala 2,2947.3655
90,Gujrat,8190.5736
91,Hafizabad,8655.9471
93,Narowal 2,4219.386399999999
94,Sialkot,4995.0089
95,Kasur,5274.233
96,Lahore,2357.8923999999997
97,Nankana Sahib,16753.446
98,Okara 1,4281.4362
99,Okara,2792.241
100,Sheikhupura,27022.687899999997
101,Khanewal,2637.1165
102,Lodhran,1985.5936
103,Multan,6111.905299999999
104,Pakpattan,1737.3944
105,Sahiwal,775.6225
106,Vehari,558.4481999999999
107,Attok,744.5975999999999
108,Chakwal,930.747
109,Jhelum,9462.5945
110,Rawalpindi,0.0
111,Bhakkar,2326.8675
112,Khushab,7135.727
113,Mianwali,18056.4918
114,Sargodha,14085.3046
115,Badin,137316.20739999998
116,Dadu,45265.329099999995
117,Hyderabad,4343.486
118,Jamshoro,341.27389999999997
119,Matiari,1644.3197
120,Tando Allahyar,16970.6203
121,Tando M. Khan,124.0996
122,Thatta,174421.9878
124,Karachi East,0.0
127,Malir,248.1992
128,Jakobabad,172157.1701
129,Kashmore,49267.5412
130,Larkana,94812.0944
131,Shikarpur,68471.9543
132,Mirphurkhas,11913.561599999999
133,Mithi,11386.138299999999
134,Sanghar,11137.9391
135,Umerkot,2699.1663
136,Rann of Kutch,2264.8177
137,Ghotki,44706.8809
138,Khairpur,7135.727
139,Naushahro Firoz,14519.653199999999
140,Nawab Shah,20507.458899999998
141,Sukkur,15512.449999999999
