ID_3,NAME_3,Area dmg,Yield Loss,Damage Fac,Production,Crop,Year
21,Jafarabad,0,0.0,0.0,0,cotton,2011
21,Jafarabad,2040,3391.0,1.0,6917640,rice,2011
22,Jhal Magsi,0,0.0,0.0,0,cotton,2011
22,Jhal Magsi,0,0.0,1.0,0,rice,2011
23,Nasirabad,0,0.0,0.0,0,cotton,2011
23,Nasirabad,680,3409.0,1.0,2318120,rice,2011
77,Bahawalnagar,2500,740.0,0.4,740000,cotton,2011
77,Bahawalnagar,720,1799.0,1.0,1295280,rice,2011
95,Kasur,0,0.0,0.0,0,cotton,2011
95,Kasur,1340,1993.0,1.0,2670620,rice,2011
106,Vehari,1800,645.0,0.4,464400,cotton,2011
106,Vehari,230,1849.0,1.0,425270,rice,2011
115,Badin,33400,1508.0,0.8,40293760,cotton,2011
115,Badin,16500,2145.0,0.5,17696250,chillies,2011
115,Badin,200,9500.0,0.9,1710000,onion,2011
115,Badin,3290,8982.0,0.9,26595702,tomato,2011
115,Badin,55100,3081.0,1.0,169763100,rice,2011
116,Dadu,2130,893.0,0.8,1521672,cotton,2011
116,Dadu,260,2659.0,0.5,345670,chillies,2011
116,Dadu,580,13348.0,0.9,6967656,onion,2011
116,Dadu,60,7956.0,0.9,429624,tomato,2011
116,Dadu,3260,3719.0,1.0,12123940,rice,2011
117,Hyderabad,1430,1409.0,0.8,1611896,cotton,2011
117,Hyderabad,60,2252.0,0.5,67560,chillies,2011
117,Hyderabad,60,14664.0,0.9,791856,onion,2011
117,Hyderabad,10,7413.0,0.9,66717,tomato,2011
117,Hyderabad,50,2900.0,1.0,145000,rice,2011
118,Jamshoro,2340,965.0,0.8,1806480,cotton,2011
118,Jamshoro,250,2600.0,0.5,325000,chillies,2011
118,Jamshoro,240,12850.0,0.9,2775600,onion,2011
118,Jamshoro,20,9042.0,0.9,162756,tomato,2011
118,Jamshoro,0,3600.0,1.0,0,rice,2011
119,Matiari,6850,1393.0,0.8,7633640,cotton,2011
119,Matiari,130,2417.0,0.5,157105,chillies,2011
119,Matiari,430,14839.0,0.9,5742693,onion,2011
119,Matiari,40,8170.0,0.9,294120,tomato,2011
119,Matiari,20,2643.0,1.0,52860,rice,2011
120,Tando Allahyar,16600,1376.0,0.8,18273280,cotton,2011
120,Tando Allahyar,900,1444.0,0.5,649800,chillies,2011
120,Tando Allahyar,3100,13871.0,0.9,38700090,onion,2011
120,Tando Allahyar,140,7714.0,0.9,971964,tomato,2011
120,Tando Allahyar,0,0.0,1.0,0,rice,2011
121,Tando M. Khan,8100,1430.0,0.8,9266400,cotton,2011
121,Tando M. Khan,200,2500.0,0.5,250000,chillies,2011
121,Tando M. Khan,1400,10714.0,0.9,13499640,onion,2011
121,Tando M. Khan,190,8737.0,0.9,1494027,tomato,2011
121,Tando M. Khan,4500,3349.0,1.0,15070500,rice,2011
122,Thatta,7200,1288.0,0.8,7418880,cotton,2011
122,Thatta,6700,2075.0,0.5,6951250,chillies,2011
122,Thatta,2200,10818.0,0.9,21419640,onion,2011
122,Thatta,4370,9087.0,0.9,35739171,tomato,2011
122,Thatta,18000,2989.0,1.0,53802000,rice,2011
128,Jakobabad,0,0.0,0.8,0,cotton,2011
128,Jakobabad,0,0.0,0.0,0,chillies,2011
128,Jakobabad,50,13722.0,0.9,617490,onion,2011
128,Jakobabad,0,0.0,0.9,0,tomato,2011
128,Jakobabad,1680,3000.0,1.0,5040000,rice,2011
132,Mirphurkhas,86400,1152.0,0.8,79626240,cotton,2011
132,Mirphurkhas,13100,3298.0,0.5,21601900,chillies,2011
132,Mirphurkhas,5400,11667.0,0.9,56701620,onion,2011
132,Mirphurkhas,280,7179.0,0.9,1809108,tomato,2011
132,Mirphurkhas,300,2675.0,1.0,802500,rice,2011
133,Mithi,30,1045.0,0.8,25080,cotton,2011
133,Mithi,50,2560.0,0.5,64000,chillies,2011
133,Mithi,10,9885.0,0.9,88965,onion,2011
133,Mithi,0,8050.0,0.9,0,tomato,2011
133,Mithi,0,0.0,1.0,0,rice,2011
134,Sanghar,124700,1319.0,0.8,131583440,cotton,2011
134,Sanghar,4700,2511.0,0.5,5900850,chillies,2011
134,Sanghar,7000,13586.0,0.9,85591800,onion,2011
134,Sanghar,330,5879.0,0.9,1746063,tomato,2011
134,Sanghar,3600,3005.0,1.0,10818000,rice,2011
135,Umerkot,45400,1015.0,0.8,36864800,cotton,2011
135,Umerkot,14800,3297.0,0.5,24397800,chillies,2011
135,Umerkot,2500,11640.0,0.9,26190000,onion,2011
135,Umerkot,180,7111.0,0.9,1151982,tomato,2011
135,Umerkot,0,0.0,1.0,0,rice,2011
138,Khairpur,5920,965.0,0.8,4570240,cotton,2011
138,Khairpur,10,2500.0,0.5,12500,chillies,2011
138,Khairpur,110,14332.0,0.9,1418868,onion,2011
138,Khairpur,0,6950.0,0.9,0,tomato,2011
138,Khairpur,100,3047.0,1.0,304700,rice,2011
139,Naushahro Firoz,8470,1093.0,0.8,7406168,cotton,2011
139,Naushahro Firoz,10,2450.0,0.5,12250,chillies,2011
139,Naushahro Firoz,390,13937.0,0.9,4891887,onion,2011
139,Naushahro Firoz,30,7936.0,0.9,214272,tomato,2011
139,Naushahro Firoz,150,2896.0,1.0,434400,rice,2011
140,Nawab Shah,37100,1060.0,0.8,31460800,cotton,2011
140,Nawab Shah,50,4000.0,0.5,100000,chillies,2011
140,Nawab Shah,6800,14603.0,0.9,89370360,onion,2011
140,Nawab Shah,160,7063.0,0.9,1017072,tomato,2011
140,Nawab Shah,800,3188.0,1.0,2550400,rice,2011
