ID_3,NAME_3,Area dmg,Yield Loss,Damage Fac,Production,Crop,Year
21,Jafarabad,85400,3397,1,290103800,rice,2010
21,Jafarabad,4740,28900,0.8,109588800,fodder,2010
21,Jafarabad,0,0,0,0,cotton,2011
21,Jafarabad,2040,3391,1,6917640,rice,2011
21,Jafarabad,36200,3500,0.6,76020000,rice,2012
21,Jafarabad,58200,604,0.1,3515280,rapeseed,2010
21,Jafarabad,800,25800,0.1,2064000,fodder Rabi,2010
21,Jafarabad,1300,15191,0.1,1974830,vegetables,2010
22,Jhal Magsi,0,0,0,0,cotton,2011
22,Jhal Magsi,0,0,1,0,rice,2011
23,Nasirabad,2500,425,1,1062500,cotton,2010
23,Nasirabad,38900,3407,1,132532300,rice,2010
23,Nasirabad,3080,26900,0.8,66281600,fodder,2010
23,Nasirabad,0,0,0,0,cotton,2011
23,Nasirabad,680,3409,1,2318120,rice,2011
23,Nasirabad,7400,3500,0.6,15540000,rice,2012
23,Nasirabad,39400,613,0.1,2415220,rapeseed,2010
23,Nasirabad,500,25700,0.1,1285000,fodder Rabi,2010
23,Nasirabad,1700,16602,0.1,2822340,vegetables,2010
47,Lakki Marwat,4650,29400,0,0,fodder,2010
48,Dera Ismail Khan,9700,32300,0.6,187986000,sugarcane,2010
48,Dera Ismail Khan,5300,2588,1,13716400,rice,2010
48,Dera Ismail Khan,900,415,0.8,298800,millet,2010
48,Dera Ismail Khan,11430,25300,0.8,231343200,fodder,2010
48,Dera Ismail Khan,16000,1862,0.1,2979200,wheat,2010
48,Dera Ismail Khan,2500,37620,0.1,9405000,fodder Rabi,2010
48,Dera Ismail Khan,500,11462,0.1,573100,vegetables,2010
64,Swat,300,2350,1,705000,rice,2010
64,Swat,1990,14500,0.8,23084000,fodder,2010
68,Charsadda,3700,45000,0.8,133200000,sugarcane,2010
68,Charsadda,460,29100,0,0,fodder,2010
68,Charsadda,4300,2620,0.1,1126600,wheat,2010
68,Charsadda,500,30629,0.1,1531450,fodder Rabi,2010
68,Charsadda,400,9111,0.1,364440,vegetables,2010
69,Nowshera,2000,50400,0.5,50400000,sugarcane,2010
69,Nowshera,1640,24900,0,0,fodder,2010
69,Nowshera,5800,2430,0.1,1409400,wheat,2010
69,Nowshera,400,29444,0.1,1177760,fodder Rabi,2010
69,Nowshera,300,8769,0.1,263070,vegetables,2010
77,Bahawalnagar,2500,740,0.4,740000,cotton,2011
77,Bahawalnagar,720,1799,1,1295280,rice,2011
78,Bahawalpur,1000,663,0,0,cotton,2010
78,Bahawalpur,100,18300,0,0,fodder,2010
79,Rahimyar Khan,22900,748,1,17129200,cotton,2010
79,Rahimyar Khan,7500,30000,0.8,180000000,sugarcane,2010
79,Rahimyar Khan,2100,1807,1,3794700,rice,2010
79,Rahimyar Khan,100,1679,0.8,134320,millet,2010
79,Rahimyar Khan,100,1679,0.8,134320,sorghum,2010
79,Rahimyar Khan,4600,16100,0.8,59248000,fodder,2010
79,Rahimyar Khan,28100,2715.2,0.1,7629712,wheat,2010
79,Rahimyar Khan,1000,920,0.1,92000,rapeseed,2010
79,Rahimyar Khan,200,6773,0.1,135460,onion,2010
79,Rahimyar Khan,800,11503,0.1,920240,fodder Rabi,2010
79,Rahimyar Khan,500,12571,0.1,628550,vegetables,2010
80,Dera Ghazi Kha,28800,612,1,17625600,cotton,2010
80,Dera Ghazi Kha,1100,51700,0.8,45496000,sugarcane,2010
80,Dera Ghazi Kha,12100,2301,1,27842100,rice,2010
80,Dera Ghazi Kha,2600,453,0.8,942240,millet,2010
80,Dera Ghazi Kha,3300,453,0.8,1195920,sorghum,2010
80,Dera Ghazi Kha,7300,16400,0.8,95776000,fodder,2010
80,Dera Ghazi Kha,8100,425,0.65,2237625,cotton,2012
80,Dera Ghazi Kha,2000,3500,1,7000000,rice,2012
80,Dera Ghazi Kha,41300,2323.7,0.1,9596881,wheat,2010
80,Dera Ghazi Kha,600,1080,0.1,64800,rapeseed,2010
80,Dera Ghazi Kha,200,7100,0.1,142000,onion,2010
80,Dera Ghazi Kha,1500,11517,0.1,1727550,fodder Rabi,2010
80,Dera Ghazi Kha,600,15600,0.1,936000,vegetables,2010
81,Layyah,17700,510,1,9027000,cotton,2010
81,Layyah,4400,51500,0.8,181280000,sugarcane,2010
81,Layyah,3600,1827,1,6577200,rice,2010
81,Layyah,11300,778,0.8,7033120,millet,2010
81,Layyah,700,778,0.8,435680,sorghum,2010
81,Layyah,12100,14800,0.8,143264000,fodder,2010
81,Layyah,25000,2535.8,0.1,6339500,wheat,2010
81,Layyah,300,885,0.1,26550,rapeseed,2010
81,Layyah,0,7333,0.1,0,onion,2010
81,Layyah,1100,12000,0.1,1320000,fodder Rabi,2010
81,Layyah,300,11792,0.1,353760,vegetables,2010
82,Muzaffargarh,124000,476,1,59024000,cotton,2010
82,Muzaffargarh,22500,50900,0.8,916200000,sugarcane,2010
82,Muzaffargarh,19000,1902,1,36138000,rice,2010
82,Muzaffargarh,10500,1169,0.8,9819600,millet,2010
82,Muzaffargarh,5700,1169,0.8,5330640,sorghum,2010
82,Muzaffargarh,45800,16000,0.8,586240000,fodder,2010
82,Muzaffargarh,173200,2707.7,0.1,46897364,wheat,2010
82,Muzaffargarh,2200,700,0.1,154000,rapeseed,2010
82,Muzaffargarh,400,5000,0.1,200000,onion,2010
82,Muzaffargarh,7700,11804,0.1,9089080,fodder Rabi,2010
82,Muzaffargarh,1600,13367,0.1,2138720,vegetables,2010
83,Rajan Pur,107100,663,1,71007300,cotton,2010
83,Rajan Pur,9800,63100,0.8,494704000,sugarcane,2010
83,Rajan Pur,9800,2031,1,19903800,rice,2010
83,Rajan Pur,2300,1020,0.8,1876800,millet,2010
83,Rajan Pur,3700,1020,0.8,3019200,sorghum,2010
83,Rajan Pur,18900,15400,0.8,232848000,fodder,2010
83,Rajan Pur,18500,425,0.65,5110625,cotton,2012
83,Rajan Pur,106700,2561.3,0.1,27329071,wheat,2010
83,Rajan Pur,10500,923,0.1,969150,rapeseed,2010
83,Rajan Pur,400,16833,0.1,673320,onion,2010
83,Rajan Pur,3500,10590,0.1,3706500,fodder Rabi,2010
83,Rajan Pur,100,117000,0.1,1170000,vegetables,2010
85,Jhang,30300,493,0.1,1493790,cotton,2010
85,Jhang,17300,48400,0.2,167464000,sugarcane,2010
85,Jhang,28600,1723,0.2,9855560,rice,2010
85,Jhang,13000,963,0.4,5007600,millet,2010
85,Jhang,1700,963,0.4,654840,sorghum,2010
85,Jhang,61100,18200,0.4,444808000,fodder,2010
85,Jhang,109700,2799.9,0.1,30714903,wheat,2010
85,Jhang,500,1000,0.1,50000,rapeseed,2010
85,Jhang,400,8538,0.1,341520,onion,2010
85,Jhang,6100,12447,0.1,7592670,fodder Rabi,2010
85,Jhang,1300,16638,0.1,2162940,vegetables,2010
86,Toba Tek Singh,9800,544,0,0,cotton,2010
86,Toba Tek Singh,6400,50700,0,0,sugarcane,2010
86,Toba Tek Singh,6400,1739,0,0,rice,2010
86,Toba Tek Singh,600,1187,0,0,millet,2010
86,Toba Tek Singh,11600,18500,0,0,fodder,2010
87,Gujarat,700,238,0,0,cotton,2010
87,Gujarat,9800,41900,0,0,sugarcane,2010
87,Gujarat,30700,1767,0,0,rice,2010
87,Gujarat,4900,851,0,0,millet,2010
87,Gujarat,7000,851,0,0,sorghum,2010
87,Gujarat,14000,21000,0,0,fodder,2010
88,Gujranwala 1,200,37800,0,0,sugarcane,2010
88,Gujranwala 1,27200,2099,0,0,rice,2010
88,Gujranwala 1,200,781,0,0,millet,2010
88,Gujranwala 1,300,781,0,0,sorghum,2010
88,Gujranwala 1,5200,19200,0,0,fodder,2010
90,Gujrat,700,39000,0,0,sugarcane,2010
90,Gujrat,15000,1772,0,0,rice,2010
90,Gujrat,20100,439,0,0,millet,2010
90,Gujrat,2700,439,0,0,sorghum,2010
90,Gujrat,5000,20200,0,0,fodder,2010
91,Hafizabad,700,37800,0,0,sugarcane,2010
91,Hafizabad,14900,1983,0,0,rice,2010
91,Hafizabad,1500,662,0,0,millet,2010
91,Hafizabad,300,662,0,0,sorghum,2010
91,Hafizabad,3200,22000,0,0,fodder,2010
92,Narowal 1,4200,2000,0.6,5040000,rice,2012
94,Sialkot,200,29900,0,0,sugarcane,2010
94,Sialkot,32200,1929,0,0,rice,2010
94,Sialkot,600,486,0,0,millet,2010
94,Sialkot,200,486,0,0,sorghum,2010
94,Sialkot,6200,16700,0,0,fodder,2010
94,Sialkot,2000,2000,0.3,1200000,rice,2012
95,Kasur,0,0,0,0,cotton,2011
95,Kasur,1340,1993,1,2670620,rice,2011
101,Khanewal,20600,663,0,0,cotton,2010
101,Khanewal,900,50800,0,0,sugarcane,2010
101,Khanewal,2900,1764,0,0,rice,2010
101,Khanewal,500,826,0,0,millet,2010
101,Khanewal,100,826,0,0,sorghum,2010
101,Khanewal,8700,19000,0,0,fodder,2010
103,Multan,26300,646,0,0,cotton,2010
103,Multan,500,41500,0,0,sugarcane,2010
103,Multan,2100,1568,0,0,rice,2010
103,Multan,100,625,0,0,millet,2010
103,Multan,300,625,0,0,sorghum,2010
103,Multan,9700,19400,0,0,fodder,2010
106,Vehari,1800,645,0.4,464400,cotton,2011
106,Vehari,230,1849,1,425270,rice,2011
109,Jhelum,600,170,0,0,cotton,2010
109,Jhelum,1100,1686,0,0,rice,2010
109,Jhelum,14700,308,0,0,millet,2010
109,Jhelum,1700,308,0,0,sorghum,2010
109,Jhelum,2800,13700,0,0,fodder,2010
111,Bhakkar,3700,493,1,1824100,cotton,2010
111,Bhakkar,2600,42100,0.8,87568000,sugarcane,2010
111,Bhakkar,500,1599,0,0,rice,2010
111,Bhakkar,3800,1164,0.8,3538560,millet,2010
111,Bhakkar,200,1164,0.8,186240,sorghum,2010
111,Bhakkar,7600,12800,0.8,77824000,fodder,2010
111,Bhakkar,4700,2272.8,0.1,1068216,wheat,2010
111,Bhakkar,100,810,0.1,8100,rapeseed,2010
111,Bhakkar,0,7375,0.1,0,onion,2010
111,Bhakkar,300,9704,0.1,291120,fodder Rabi,2010
111,Bhakkar,0,12750,0.1,0,vegetables,2010
112,Khushab,3300,43400,0,0,sugarcane,2010
112,Khushab,13900,1530,0,0,rice,2010
112,Khushab,5300,697,0,0,millet,2010
112,Khushab,7900,697,0,0,sorghum,2010
112,Khushab,18500,12800,0,0,fodder,2010
113,Mianwali,9600,646,1,6201600,cotton,2010
113,Mianwali,1400,46400,0.8,51968000,sugarcane,2010
113,Mianwali,1800,1589,1,2860200,rice,2010
113,Mianwali,8800,604,0.8,4252160,millet,2010
113,Mianwali,4000,604,0.8,1932800,sorghum,2010
113,Mianwali,5800,10600,0.8,49184000,fodder,2010
113,Mianwali,20800,1894.6,0.1,3940768,wheat,2010
113,Mianwali,600,588,0.1,35280,rapeseed,2010
113,Mianwali,100,13889,0.1,138890,onion,2010
113,Mianwali,300,7509,0.1,225270,fodder Rabi,2010
113,Mianwali,100,10400,0.1,104000,vegetables,2010
114,Sargodha,2100,391,0,0,cotton,2010
114,Sargodha,13700,45900,0,0,sugarcane,2010
114,Sargodha,11600,1655,0,0,rice,2010
114,Sargodha,4900,635,0,0,millet,2010
114,Sargodha,1000,635,0,0,sorghum,2010
114,Sargodha,35000,18900,0,0,fodder,2010
115,Badin,33400,1508,0.8,40293760,cotton,2011
115,Badin,16500,2145,0.5,17696250,chillies,2011
115,Badin,200,9500,0.9,1710000,onion,2011
115,Badin,3290,8982,0.9,26595702,tomato,2011
115,Badin,55100,3081,1,169763100,rice,2011
116,Dadu,20100,765,0.5,7688250,cotton,2010
