ID,Name,Tflood,Fr,Fc,Fm,Fs,TEVI,TFEVI,Er,Ec,Em,Es,EFr,EFc,EFm,EFs
21,Jafarabad,160833.0816,78399.92229999999,0.0,0.0,39649.8222,0.15775631520617991,0.16856320843768968,0.1858162676743619,,,0.15649576032495024,0.18822008504868734,,,0.15818429827599476
23,Nasirabad,118080.7694,76321.254,0.0,0.0,13775.0556,0.12646830473418105,0.18029816510600166,0.20602409035335464,,,0.16591016585895008,0.2096501541050251,,,0.1821366784817603
47,Lakki Marwat,56806.5919,0.0,0.0,992.7968,651.5228999999998,0.11295567405575298,0.08772103056647351,,,0.18339234322144146,0.14501130101151033,,,0.19618691086065576,0.13085989461358316
48,Dera Ismail Khan,120966.0851,186.1494,5956.7808,14209.4042,2513.0169,0.14223873912477292,0.09889106580501948,0.21085004167824398,0.2399811117888969,0.2209733795982004,0.17817136697823333,0.19508265027322408,0.15023915855532788,0.15895089931276407,0.11849182351750655
68,Charsadda,4995.0089,0.0,961.7719,806.6474,0.0,0.3032825581395348,0.18278860859382964,,0.32332071289269965,0.2839666543869345,0.15298960289670538,,0.22148453199365414,0.20060540668348048,
69,Nowshera,27798.3104,0.0,1396.1205,8221.5985,2419.9422,0.1914096667000648,0.167155185615486,,0.2573773919157825,0.2195257189922805,0.16810064771917302,,0.2408544717668489,0.1949578240024746,0.142597309794031
77,Bahawalnagar,291665.0849,197473.4885,15357.3255,12006.6363,28853.157000000003,0.21298602304156744,0.2470492587115775,0.24914977461546164,0.2749061186422868,0.2275399445907555,0.22083233726791826,0.2637747104426103,0.2368619233316771,0.2008100711653325,0.2453923012515421
78,Bahawalpur,379806.8258,129311.7832,12627.1343,3816.0627,14954.0018,0.13122689463032827,0.17146695714297186,0.2558591167219882,0.3110718608501508,0.2324546887653485,0.18256612863003985,0.2632705853143386,0.3068490041084304,0.21040188924430225,0.2237284113325621
79,Rahimyar Khan,175011.4609,59660.8827,17063.695,4777.8346,10207.1921,0.20788141539542654,0.18245013055759784,0.25929591087186743,0.33197342395652296,0.2474324881785229,0.17913932242567565,0.2627801379760109,0.26131727794336795,0.1579825127741112,0.16382975733718674
80,Dera Ghazi Kha,235634.1155,82991.6075,5150.1334,10207.1921,21221.0316,0.13479026965884602,0.1608314005655134,0.2449543070209325,0.2902930105424937,0.1861194496304442,0.17659836020149966,0.24335345748429604,0.2752772861939564,0.15900304449648722,0.15924049827437425
81,Layyah,207494.5312,2202.7679,3536.8386,6732.4033,7539.0507,0.16542125334326882,0.06744757113302989,0.24220029018916844,0.2739308987645949,0.2330877547437712,0.1801896368149289,0.210783381436158,0.1694479148691401,0.19406323751605345,0.09384005430749508
82,Muzaffargarh,214040.7851,47033.7484,20104.1352,25378.3682,13371.7319,0.2158436494962585,0.1467532933615943,0.26709875800976524,0.2914573689416419,0.2109160110448124,0.18773616088448306,0.2270398208724428,0.2257019631653513,0.14292416980640535,0.15017724601574695
83,Rajan Pur,248602.5237,90716.8076,2326.8675,3195.5647,19731.8364,0.15251662189646115,0.16006363793057546,0.2647952782965419,0.32350000985577737,0.22139120033690796,0.17415899535802726,0.2630628882509921,0.2535466284153005,0.1799998209454083,0.15697152412619833
85,Jhang,257103.3463,35027.1121,20414.3842,34096.365099999995,8314.6732,0.22256869793806208,0.12389722323330835,0.2507520303856987,0.27575618508603805,0.2312861990826337,0.2113976849546712,0.22280804099086696,0.19972970128058212,0.16978463431733767,0.15963759175434306
86,Toba Tek Singh,60808.804000000004,17373.944,27457.0365,9803.8684,2947.3655,0.26546284642059365,0.2419415634409501,0.2624857849763644,0.291612988860219,0.23301176063358525,0.2259387647429717,0.2533213963700237,0.2515776558303233,0.22193675814484334,0.22502881363244187
87,Gujarat,100799.9001,46785.5492,33630.9916,15698.5994,3443.7639,0.2667836974746809,0.24316108386439175,0.2588908934513336,0.278910045042775,0.2462003580474757,0.20921204827461287,0.2533559192503375,0.2498723345532634,0.21027961187066654,0.20482596366858666
88,Gujranwala 1,242987.0168,213823.6108,13806.0805,7787.2499,2823.2659,0.24563113871599496,0.2478795682174011,0.2483966462821013,0.259962288805764,0.2385820679785936,0.2498101688037655,0.2481455792769953,0.26396275925584817,0.2531450444125139,0.2506265627814807
90,Gujrat,89103.5128,32389.9956,4467.5855999999985,28915.2068,11417.1632,0.22030843467238584,0.20735216876341314,0.2302592717878346,0.23292657358109406,0.22351404262481284,0.1944422467615008,0.2285419473494129,0.17993570412112922,0.21341619951804705,0.18551413823057727
91,Hafizabad,224806.4254,192385.4049,3319.6643,8562.8724,12813.2837,0.2261889577294849,0.22236167371031135,0.2300426570208341,0.24294145279819104,0.23461027527322406,0.19851345724350716,0.2278753547814869,0.2359629309024053,0.22415589659063911,0.1820697336561744
94,Sialkot,252108.3374,182240.2626,24168.3971,38532.9258,434.3486,0.24396165410743376,0.2406168661713261,0.2477434645955136,0.2526497670376295,0.23407986790606705,0.23248522661523624,0.24572523094269186,0.2416150376691429,0.2284576387238985,0.20506086065573767
95,Kasur,98690.2069,29783.904,29628.7795,25843.7417,1365.0956,0.27130129066419506,0.22455556403028248,0.2485661599313768,0.2935275997435233,0.2460545685311904,0.23810630618720255,0.2326920338114753,0.2323881688267101,0.2207331450613031,0.23132185171385986
101,Khanewal,78927.3456,52680.2802,15016.0516,5181.1583,930.747,0.30477705858071913,0.28195216597716266,0.2994784983805037,0.32133873792055906,0.2686138206376101,0.2423356622088007,0.30172243574890434,0.2865360825091452,0.22450044664768826,0.192255956284153
103,Multan,68192.73019999999,30962.8502,8221.5985,4622.7101,4560.6603,0.27808195184969925,0.2236055693327762,0.2885768758854481,0.3112477336005567,0.2517553347280333,0.239813883430646,0.28401184459082074,0.23282433652953916,0.1838696171195951,0.20494196498271453
106,Vehari,75235.38249999999,36144.0085,21252.0565,6639.3286,2295.8426,0.30971264332201703,0.26736918877809746,0.3061603630837699,0.32498444539561355,0.2521243837501499,0.2846930530125611,0.2908424857524801,0.28247306748833284,0.20709441358970435,0.2614096643774922
109,Jhelum,45420.4536,2202.7679,3443.7639,11944.5865,8935.171199999999,0.1904796051834001,0.1475817373801848,0.2192109236321395,0.2173932355014983,0.19702638267369035,0.18904402050207506,0.18140336527360887,0.12761427411017578,0.152888370236321,0.16572216530054654
111,Bhakkar,367241.7413,6887.5278,12192.7857,14271.454,15388.3504,0.13076247877769911,0.07613665756304568,0.21038857590674773,0.2605269007414701,0.2097425442954126,0.176778054027895,0.19002387756609065,0.25354583906895245,0.17451719440484684,0.14001629842014796
112,Khushab,304912.7172,33693.0414,6111.9052999999985,22306.9031,20724.6332,0.15521324340877088,0.10753406393242487,0.2329638182708123,0.2636214126408641,0.21732720002510336,0.1846255312689739,0.2315711624098061,0.24836896271948075,0.20961016667046647,0.19651678609993126
113,Mianwali,179261.87219999995,46878.6239,2450.9671,25595.5425,20786.683,0.18165441346663186,0.15613540946722754,0.23405916868902,0.2631011752949364,0.19542193194496116,0.17658833737972218,0.2231331251152747,0.2534418551566716,0.17436873621460516,0.1535553872033278
114,Sargodha,104305.7138,4064.2619,27115.7626,45823.7773,13123.5327,0.2450014058991652,0.2023550757745682,0.2299009702241553,0.2646887396252478,0.23986801875303215,0.2060255142584555,0.20831621198848707,0.2353716317477585,0.20415941540783827,0.1654517013525559
115,Badin,720491.2527,34778.9129,6577.2788,86528.4461,45544.5532,0.14038696781298973,0.13640661374428764,0.1817808968855338,0.2494356523921045,0.17464807146984493,0.16995700678349335,0.18127234465714134,0.20013682531704305,0.16906821691187252,0.168058963907625
116,Dadu,403789.0735,72381.0917,2544.0418,4095.2868,38191.6519,0.12083558396773045,0.12601208756604948,0.20453728610089908,0.24655553073770506,0.20657745595791535,0.16777307738669198,0.20538432943582094,0.22048409636145544,0.1875640865623448,0.16784682485251218
117,Hyderabad,76817.65239999999,3071.4651,17684.193,16505.2468,5584.482,0.2446101904083735,0.19092619243094364,0.2743744345718904,0.2967428428480641,0.2372448645031787,0.20684815677264468,0.23370080725285644,0.2470643349151569,0.1951437615555282,0.1651602140255009
118,Jamshoro,104522.8881,1799.4442,372.2988,341.2739,4002.2121,0.11995623923824605,0.09945059693249468,0.19718211089127585,0.19885557377049184,0.08285309239940387,0.14334801827883953,0.1352000141322781,0.19322762978142086,0.08285309239940387,0.11122086986910663
119,Matiari,51718.5083,5212.1832,11262.0387,11944.5865,1365.0956,0.2329266725153682,0.19496200423849644,0.2726066427595627,0.25838968382727473,0.24655261725191596,0.22241850483021075,0.2679167032591725,0.21798625976606611,0.217281054928678,0.2029004191505216
120,Tando Allahyar,96456.4141,7414.951099999998,5987.8057,28698.0325,12844.3086,0.1944043142934415,0.18014894397017628,0.21829871857923472,0.2402080126902409,0.20577698425939375,0.18447233472037886,0.20789425200631034,0.20354694427928308,0.19340701240584854,0.17797226874950514
121,Tando M. Khan,86001.02279999999,1365.0956,22306.9031,17498.0436,1799.4442,0.2293423225169257,0.19236474921935975,0.2592944015342581,0.2637012243149204,0.22964136051291,0.20246226229508188,0.2139543684798809,0.22200610593036785,0.1997674710789444,0.19801789853024304
122,Thatta,1310088.4523,39215.4736,24354.5465,89630.93609999998,162694.57559999998,0.10362766955844796,0.08172022957885378,0.19360316739782926,0.2239657670842392,0.19263234985670552,0.15721159194893225,0.1736168707200666,0.17977523441578738,0.17416863427699186,0.15454699531705274
128,Jakobabad,370809.6048,122393.2305,0.0,4932.9591,121400.4337,0.1644046738493936,0.16527935166211227,0.18456914524154064,,0.14331081287692174,0.16780067112123645,0.1848819626420662,,0.1367385916073822,0.16818416176846426
